PlotID,contributor_assigned_plot_id,email,Investigators,SiteName,Country,SiteLatitude,SiteLongitude,EPSG,ClimateZone,PlantFuntionalType,PeakBiomass,PlotSize,AGB,AGB_g_m2,HAG_plotmin_of_cellmax_m,HAG_plotmax_of_cellmax_m,HAG_plotmean_of_cellmax_m,HAG_plotmedian_of_cellmax_m,HAG_plot90percentile_of_cellmax_m
P01,SP01,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,69.14,276.56,0.04,0.27,0.1477,0.14,0.21
P02,SP02,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,63.74,254.96,0.01,0.21,0.1083,0.11,0.15
P03,SP03,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,44.87,179.48,0.03,0.92,0.1229,0.11,0.18
P04,SP04,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,42.84,171.36,0,0.19,0.1224,0.12,0.15
P05,SP05,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,37.32,149.28,0,0.18,0.0779,0.08,0.11
P06,SP06,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,49.74,198.96,0,0.22,0.0666,0.06,0.11
P07,SP07,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,118.89,475.56,0.2,0.52,0.4043,0.41,0.47
P08,SP08,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,105.03,420.12,0,0.53,0.2689,0.27,0.39
P09,SP09,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,165.92,663.68,0.04,0.6,0.4011,0.4,0.51
P10,SP10,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,193.13,772.52,0.24,0.6,0.4434,0.43,0.56
P11,SP11,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,218.15,872.6,0.24,0.58,0.4303,0.43,0.5
P12,SP12,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,214.16,856.64,0.38,0.61,0.5121,0.51,0.57
P13,SP13,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,473.07,1892.28,0.49,0.77,0.6315,0.63,0.7
P14,SP14,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,363.76,1455.04,0.52,0.87,0.6841,0.687692308,0.74
P15,SP15,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,364.55,1458.2,0.5,0.81,0.6512,0.65,0.73
P16,SP16,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,607.84,2431.36,0.66,0.88,0.8061,0.81,0.85
P17,SP17,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,587.58,2350.32,0.69,0.92,0.8249,0.82,0.88
P18,SP18,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,586.66,2346.64,0.66,0.88,0.7609,0.76,0.81
P19,SP19,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,64.84,259.36,0.25,0.96,0.3376,0.33,0.38
P20,SP20,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,101.53,406.12,0.21,0.41,0.3215,0.32,0.37
P21,SP21,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,81.13,324.52,0.15,0.41,0.2568,0.26,0.31
P22,SP22,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,370.39,1481.56,0.35,0.47,0.412,0.41,0.45
P23,SP23,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,266.8,1067.2,0.37,0.5,0.4368,0.44,0.47
P24,SP24,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,203.45,813.8,0.41,0.59,0.4951,0.5,0.538664692
P25,SP25,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,205.12,820.48,0.37,0.49,0.4144,0.41,0.43
P26,SP26,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,241.71,966.84,0.39,0.5,0.4471,0.45,0.47
P27,SP27,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,198.02,792.08,0.33,0.45,0.3982,0.4,0.43
P28,SP28,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,400.89,1603.56,0.54,0.7,0.6104,0.6,0.65
P29,SP29,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,490.41,1961.64,0.52,0.63,0.5771,0.58,0.61
P30,SP30,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,558.69,2234.76,0.6,0.69,0.6357,0.63,0.66
P31,SP31,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,262.41,1049.64,0.27,0.85,0.4251,0.41,0.52
P32,SP32,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,160.19,640.76,0.27,0.6,0.4631,0.47,0.52
P33,SP33,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,140.13,560.52,0.15,0.7,0.3873,0.38,0.5
P34,SP34,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,447.12,1788.48,0,0.48,0.2852,0.29,0.32
P35,SP35,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,305.24,1220.96,0.07,0.34,0.2612,0.27,0.3
P36,SP36,andrewmcunliffe@gmail.com,"Andrew Cunliffe, Isla Myers-Smith",Qikiqtaruk (Orca),Canada,69.572,-138.895,32607,Tundra,Shrub,TRUE,0.25,307.38,1229.52,0.08,0.46,0.2903,0.29,0.33
P07,GO1,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,2644.32,3256.952827,0.06,0.91,0.7094,0.74,0.8
P08,GO2,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,4204.52,2531.013725,0.06,1.31,0.8487,0.92,1.089565217
P09,GO3,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,3007.55,2881.623072,0.18,0.93,0.5342,0.48,0.8
P10,GO4,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,498.1,954.0317947,0,0.26,0.0746,0.07,0.16
P11,GO5,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,580.7,956.6721582,0.02,0.34,0.1836,0.19,0.28
P17,HE1,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,326.33,815.00999,0.04,0.37,0.2223,0.24,0.35
P18,HE2,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,322.19,821.9132653,0.03,0.17,0.1042,0.11,0.15
P19,HE3,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,1770.81,1225.219678,0,0.6,0.335,0.34,0.48
P20,HE4,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,1502.44,1459.955301,0.09,0.64,0.4865,0.47,0.59
P21,HE5,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,758.05,1044.289847,0,0.36,0.2141,0.22,0.26
P22,HE6,f.visser@worc.ac.uk,Fleur Visser,"Hartlebury Common, Worcestershire",United Kingdom,52.333,-2.259,32630,Temperate oceanic climate,Shrub,TRUE,NA,63.34,260.5512135,0,0.07,0.0142,0.01,0.04
P01,P01,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,2.25,2357.64,1051.063261,0,1.58,0.3449,0.14,0.97
P02,P02,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.25,250.28,1130.953457,0.01,0.47,0.2951,0.35,0.43
P03,P03,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.21,2049.5,1741.439375,0,1.22,0.4567,0.26,1.02
P04,P04,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.96,2734.43,1478.15017,0,1.49,0.5903,0.47,1.23
P05,P05,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.69,1980.18,1223.844252,0,1.3,0.3603,0.15,0.9
P06,P06,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,2.25,4511.72,2077.793129,0,1.81,0.8359,1.09,1.58
P07,P07,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.49,306.25,668.5221567,0.03,0.78,0.3106,0.2,0.67
P08,P08,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,2.56,3668.54,1502.453209,0,1.43,0.4194,0.18,1.08
P09,P09,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.64,485.08,796.7805519,0.04,0.68,0.2743,0.15,0.6
P10,P10,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.64,476.84,773.9652654,0.01,0.61,0.245,0.18,0.48
P11,P11,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,3.24,6669.66,2074.157233,0,1.79,0.8594,1.19,1.55
P12,P12,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.21,1612.27,1383.803965,0,1.18,0.3989,0.39,0.79
P13,P13,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.64,371.59,604.1131523,0.02,0.75,0.2718,0.19,0.55
P14,P14,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.21,857.54,724.9471638,0,0.9,0.2561,0.16,0.59
P15,P15,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.64,609.14,943.3792783,0,0.64,0.2902,0.19,0.57
P16,P16,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.25,193.4,810.5616094,0.04,0.51,0.1753,0.15,0.34
P17,P17,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1,928.98,973.2634887,0.01,0.85,0.28,0.21,0.58
P18,P18,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,0.81,785.84,997.7653631,0.02,0.63,0.2855,0.24,0.48
P19,P19,jprosek@fzp.czu.cz,Ji_í Pro_ek; Kate_ina Gdulová; Petra _ímová,Doupovské hory (Rado_ov),Czech Republic (CZE),50.161,13.126,32633,Warm summer continental,Shrub,TRUE,1.21,767.67,690.226578,0.03,0.92,0.2945,0.24,0.59
